org,dest,days,departure_date,people_number,housing,cuisine,transportation,budget,query,level,details
Fort Lauderdale,"['Houston on day 1', 'Dallas on day 3']",5.0,2022-03-05,2.0,['parties'],"['Indian', 'Italian', 'Chinese', 'Mediterranean']",no self-driving,4200.0,"Could you plan a 5-day trip for 2 individuals starting from Fort Lauderdale? We aim to visit Houston on the 1st day and Dallas on the 3rd day. Our departure date is March 5th, 2022, and we prefer accommodations that allow parties. Our culinary preferences include Indian, Italian, Chinese, and Mediterranean cuisines. We will not be self-driving during our journey, and our budget is set at $4200.",hard,[]
Sault Ste. Marie,"['Pellston on day 1', 'Traverse City on day 3', 'Alpena on day 5']",7.0,2022-03-15,5.0,"['shared room', 'smoking']",,,,"Would you be able to organize a 7-day trip for 5 individuals starting from Sault Ste. Marie? We plan to visit Pellston on day 1, Traverse City on day 3, and Alpena on day 5. Our departure date is March 15th, 2022. We are looking for shared room accommodations that allow smoking.",medium,"[{'operation': 'REPLACE', 'attribute': 'housing', 'value': ['entire room'], 'priority': 0, 'question': ""It seems like the accommodation preferences you've mentioned might not be feasible for this trip. Is there a different type of accommodation you would consider for your travel plans?"", 'answer': 'I would consider an entire room for my accommodation.'}, {'operation': 'ADD', 'attribute': 'budget', 'value': 12700, 'priority': 0, 'question': 'To better assist you with planning this trip, could you please share the budget you have in mind for the accommodations and activities?', 'answer': 'My budget for accommodations and activities is $12,700.'}]"
Newark,"['Beaumont on day 1', 'Mosinee on day 3']",,,2.0,['shared room'],,,2700.0,"Create a travel plan for 2 individuals starting from Newark. The itinerary includes visiting Beaumont on day 1 and Mosinee on day 3. Our accommodation preference is a shared room, and our budget is set at $2700.",medium,"[{'operation': 'ADD', 'attribute': 'days', 'value': 5, 'priority': 0, 'question': 'To better assist you, could you please specify the total number of days you intend to spend on this trip starting from Newark?', 'answer': ""Absolutely, I'm planning to spend a total of 5 days on this trip starting from Newark. I'm really looking forward to making the most of every moment there!""}, {'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-13', 'priority': 0, 'question': 'When are you planning to depart from Newark for this trip?', 'answer': 'I plan to depart from Newark on March 13, 2022.'}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Madison on day 1', 'Mosinee on day 3'], 'priority': 2, 'question': 'It seems that reaching Mosinee is not possible based on the available transportation methods. Is there another destination you would like to consider instead of Mosinee?', 'answer': 'Madison.'}]"
Ontario,['Sault Ste. Marie on day 1'],3.0,2022-03-04,,"['shared room', 'visitors']",,,3200.0,"Create a 3-day travel plan starting from Ontario and heading to Sault Ste. Marie on day 1. The departure date is set for March 4th, 2022, with a budget of $3200. The accommodation preference is a shared room that allows visitors.",easy,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 1, 'priority': 0, 'question': 'Just to clarify, how many people will be joining you on this trip?', 'answer': ""It's just going to be me on this adventure, exploring and soaking up all the experiences solo!""}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Honolulu on day 1'], 'priority': 0, 'question': 'It seems that reaching Sault Ste. Marie is not feasible based on the available transportation methods. Is there another destination you would like to consider for your trip starting from Ontario on March 4th, 2022?', 'answer': ""Absolutely! I've always dreamt of exploring the beautiful beaches and vibrant culture of Honolulu. It's the perfect getaway destination for me.""}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': None, 'priority': 1, 'question': ""It looks like the accommodation preference you've specified may not be feasible for this trip. Is there another type of accommodation you would consider for your travel plan?"", 'answer': 'Any accommodation preference is acceptable.'}]"
,"['Gunnison on day 1', 'Houston on day 3']",5.0,2022-03-27,3.0,,"['Indian', 'Mediterranean']",,1757.0,"I am planning a 5-day trip for 3 individuals starting on March 27th, 2022. Our itinerary includes visiting Gunnison on the 1st day and Houston on the 3rd day. We have a budget of $1757 and are interested in savoring Indian and Mediterranean cuisines during our journey.",medium,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Miami', 'priority': 0, 'question': 'Where will you be departing from for your upcoming trip?', 'answer': 'I will be departing from Miami.'}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Dallas on day 1', 'Houston on day 3'], 'priority': 1, 'question': 'It seems like Gunnison is not accessible for your trip. Is there another destination you would like to consider instead?', 'answer': ""Absolutely, Dallas is my top choice for this trip! The vibrant culture and delicious food scene there are calling my name. I can't wait to explore all the exciting attractions the city has to offer. Let's make it happen!""}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 8500, 'priority': 2, 'question': ""It looks like the budget you've specified might not be enough for your trip. Would you be willing to adjust your budget to meet the minimum requirements for the itinerary?"", 'answer': 'I can adjust the budget to $8,500.'}]"
Durango,,5.0,2022-03-27,2.0,,"['Chinese', 'Indian']",,2300.0,"Please plan a 5-day trip for 2 individuals starting in Durango on March 27th, 2022. Our budget is $2300, and we are interested in exploring Chinese and Indian cuisine during our journey.",medium,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Amarillo on day 1', 'San Angelo on day 3'], 'priority': 0, 'question': 'When do you plan to arrive in each destination during your 5-day trip starting in Durango on March 27th, 2022?', 'answer': 'I plan to arrive in Amarillo on day 1 and San Angelo on day 3.'}]"
Cleveland,,5.0,2022-03-02,6.0,"['entire room', 'pets']",,no self-driving,2558.0,"I am planning a 5-day trip for 6 people starting from Cleveland on March 2nd, 2022. Our budget is $2558. We require accommodations with an entire room that allows pets. Additionally, we prefer not to self-drive during our journey.",hard,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Arcata on day 1', 'Tampa on day 3'], 'priority': 0, 'question': 'When do you plan to arrive in each destination during your 5-day trip starting from Cleveland on March 2nd, 2022?', 'answer': ""Absolutely! I'm really looking forward to exploring Arcata on day 1 and soaking up the sun in Tampa on day 3. It's going to be an exciting journey filled with new experiences and adventures!""}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Fort Myers on day 1', 'Tampa on day 3'], 'priority': 1, 'question': ""It seems like Tampa is not accessible by any transportation methods. Do you have another destination in mind that you'd like to consider instead?"", 'answer': 'Fort Myers.'}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 13900, 'priority': 2, 'question': ""It looks like the budget you've specified might not be enough for your trip. Would you be willing to adjust your budget to meet the minimum requirements for the itinerary?"", 'answer': ""Absolutely, I believe adjusting the budget to $13,900 would allow for a more fulfilling and enjoyable travel experience. It's important to ensure we have enough resources to fully embrace all the wonderful opportunities and activities that the itinerary has to offer.""}]"
,['Atlanta on day 1'],3.0,2022-03-14,2.0,['parties'],,no flight,,"Please arrange a 3-day trip for 2 individuals starting on March 14th, 2022, with the first-day stop in Atlanta. We prefer accommodations that allow parties and transportation excluding flights.",medium,"[{'operation': 'ADD', 'attribute': 'budget', 'value': 4700, 'priority': 0, 'question': 'Could you please share the budget you have in mind for this 3-day trip for 2 individuals starting on March 14th, 2022, with the first-day stop in Atlanta, including accommodations that allow parties and transportation excluding flights?', 'answer': 'Our budget for the 3-day trip for 2 individuals starting on March 14th, 2022, with the first-day stop in Atlanta, including accommodations that allow parties and transportation excluding flights is $4700.'}, {'operation': 'ADD', 'attribute': 'org', 'value': 'Sacramento', 'priority': 0, 'question': ""I'd like to assist you with that. To proceed, could you please share the departure city for your trip?"", 'answer': ""Sacramento is where my journey begins, a city full of history and charm. I can't wait to embark on this adventure from there!""}, {'operation': 'REPLACE', 'attribute': 'transportation', 'value': None, 'priority': 1, 'question': 'It looks like arranging transportation excluding flights might not be feasible for this trip. Are you open to exploring alternative transportation options for your 3-day getaway starting on March 14th, 2022?', 'answer': 'Any transportation preference is acceptable.'}]"
Fort Lauderdale,"['Atlanta on day 1', 'Decatur on day 3', 'Augusta on day 5']",,2022-03-24,2.0,"['not shared room', 'children under 10']","['Indian', 'American', 'Chinese', 'Mediterranean']",,8000.0,"Create a travel plan for 2 individuals departing from Fort Lauderdale on March 24th, 2022. The itinerary includes visiting Atlanta on day 1, Decatur on day 3, and Augusta on day 5. Our accommodation preference is a not shared room that allows children under 10. We have a budget of $8000 and are interested in trying Indian, American, Chinese, and Mediterranean cuisines during our trip.",hard,"[{'operation': 'ADD', 'attribute': 'days', 'value': 7, 'priority': 0, 'question': 'Could you please let me know the total number of days you are planning for this trip so I can finalize the itinerary accordingly?', 'answer': 'I am planning for a 7-day trip.'}]"
,,5.0,2022-03-27,3.0,,"['Indian', 'Mediterranean']",,8500.0,"We are planning a 5-day trip for 3 individuals starting on March 27th, 2022. Our budget for this journey is $8500. We are particularly interested in savoring Indian and Mediterranean cuisines during our travels.",medium,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Miami', 'priority': 0, 'question': 'I see you have planned a 5-day trip starting on March 27th, 2022, with a budget of $8500. To assist you better, could you please share the departure city for your upcoming journey?', 'answer': ""Absolutely, Miami is such a vibrant city to start my journey from! The energy there is infectious, and I can't wait to kick off my adventure from such a lively place. It's the perfect departure point for what I'm sure will be an unforgettable trip.""}, {'operation': 'ADD', 'attribute': 'dest', 'value': ['Dallas on day 1', 'Houston on day 3'], 'priority': 0, 'question': 'Which cities do you have in mind for your trip, and on which specific days do you plan to arrive in each city?', 'answer': 'I am beyond excited about my upcoming trip! I have Dallas on my list for day 1 and Houston for day 3. The thought of exploring these vibrant cities fills me with anticipation and wanderlust.'}]"
Richmond,"['Miami on day 1', 'Punta Gorda on day 3']",5.0,2022-03-09,7.0,"['entire room', 'visitors']","['French', 'American', 'Mediterranean', 'Italian']",,3709.0,"Would you kindly organize a 5-day trip for a group of seven starting from Richmond? We plan to visit Miami on day 1 and Punta Gorda on day 3. Our departure date is March 9th, 2022, and our budget is $3709. We prefer accommodations with an entire room that allows visitors. Additionally, we enjoy a variety of cuisines, including French, American, Mediterranean, and Italian.",hard,"[{'operation': 'REPLACE', 'attribute': 'budget', 'value': 8500, 'priority': 0, 'question': ""It looks like the budget you've specified might not be enough for the trip. Would you be open to adjusting the budget to meet the minimum requirements for the itinerary?"", 'answer': ""Absolutely, I'm willing to adjust the budget to $8,500. I believe it will allow for a more fulfilling and enjoyable travel experience without compromising on the itinerary. Let's make sure we have enough to truly make the most of this trip!""}]"
Houston,['Fayetteville on day 1'],3.0,2022-03-20,,['children under 10'],"['American', 'Mediterranean', 'French', 'Chinese']",no self-driving,1500.0,"Can you suggest a 3-day travel plan starting from Houston and heading to Fayetteville on day 1? We plan to depart on March 20th, 2022, with a budget of $1500. Our accommodation should be suitable for children under 10. We prefer not to self-drive and are interested in trying American, Mediterranean, French, and Chinese cuisines during our trip.",hard,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 2, 'priority': 0, 'question': 'Do you mind sharing how many people will be joining you on this trip?', 'answer': ""We're a duo of adventurers ready to explore the world together!""}]"
,"['Wilmington on day 1', 'Charlotte on day 3']",5.0,2022-03-05,2.0,"['not shared room', 'pets']",,no flight,1350.0,"Craft a 5-day travel plan for 2 individuals starting on March 5th, 2022. We plan to visit Wilmington on the 1st day and Charlotte on the 3rd day. Our budget is $1350, and we require accommodations with a non-shared room that allows pets. Additionally, we prefer not to use flights for transportation.",hard,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Chicago', 'priority': 0, 'question': 'I can help with that! Just to clarify, could you please let me know the departure city for your trip?', 'answer': 'Chicago'}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 3600, 'priority': 1, 'question': ""It looks like the budget you've specified might not be enough for the trip. Would you be willing to consider adjusting the budget slightly to meet the minimum requirements for the itinerary?"", 'answer': 'I can adjust the budget to $3,600.'}]"
St. Louis,"['Orlando on day 1', 'Fort Myers on day 3']",5.0,2022-03-15,1.0,"['shared room', 'smoking']",,,2900.0,"Would you be able to organize a 5-day solo trip starting from St. Louis? The journey includes stops in Orlando on day 1 and Fort Myers on day 3, departing on March 15th, 2022. My budget for this trip is $2900, and I'm comfortable with a shared room that allows smoking.",easy,"[{'operation': 'REPLACE', 'attribute': 'housing', 'value': None, 'priority': 0, 'question': ""It seems that the accommodation preference you've specified may not be feasible for this trip. Are you open to exploring other accommodation options for your journey?"", 'answer': 'Any accommodation preference is acceptable.'}]"
Bangor,['Washington on day 1'],3.0,2022-03-21,3.0,"['entire room', 'pets']",['Indian'],no self-driving,3100.0,"Please organize a 3-day trip for 3 individuals starting from Bangor and heading to Washington on day 1. We plan to depart on March 21st, 2022, with a budget of $3100. Our accommodation preference is an entire room that allows pets. We are fans of Indian cuisine and would like to avoid self-driving during our journey.",hard,"[{'operation': 'REPLACE', 'attribute': 'cuisine', 'value': None, 'priority': 0, 'question': ""I'm unable to find any Indian restaurants in the cities you plan to visit. Could you suggest an alternative cuisine preference for your trip?"", 'answer': ""Absolutely! I love exploring different cuisines, so I'm open to trying anything new and exciting during my trip. Food is such an important part of experiencing a new culture, so I'm looking forward to tasting a variety of dishes wherever I go. Let's see what delicious options we can discover together!""}]"
Miami,"['Dallas on day 1', 'Houston on day 3']",5.0,2022-03-27,3.0,,"['Indian', 'Mediterranean']",,1835.0,"Please organize a 5-day trip for 3 individuals starting from Miami. We plan to visit Dallas on the 1st day and Houston on the 3rd day. Our departure date is March 27th, 2022, and our budget is $1835. We are interested in exploring Indian and Mediterranean cuisines during our journey.",medium,"[{'operation': 'REPLACE', 'attribute': 'budget', 'value': 8500, 'priority': 0, 'question': ""It looks like the budget you've specified might not be enough for the trip. Would you be willing to consider adjusting the budget slightly to meet the minimum requirements for the itinerary?"", 'answer': 'I can adjust the budget to $8,500.'}]"
,"['State College on day 1', 'Johnstown on day 3']",5.0,2022-03-22,1.0,"['shared room', 'pets']",,,,"I am planning a 5-day solo trip starting on March 22nd, 2022. I will be visiting State College on the 1st day and Johnstown on the 3rd day. I am looking for shared room accommodations that allow pets.",easy,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Memphis', 'priority': 0, 'question': 'Where will you be departing from for your solo trip starting on March 22nd, 2022?', 'answer': ""I'm so excited to start my solo adventure from Memphis! It's going to be an amazing journey filled with new experiences and discoveries.""}, {'operation': 'ADD', 'attribute': 'budget', 'value': 1400, 'priority': 0, 'question': ""Do you have a specific budget in mind for this 5-day solo trip you're planning?"", 'answer': ""I'm really excited about this trip! I've been saving up for a while, and I think I can comfortably manage with a budget of $1400 for the 5 days. I want to make the most out of this experience without breaking the bank.""}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': None, 'priority': 1, 'question': ""It seems like the accommodation preferences you've mentioned might not be feasible for this trip. Is there a different type of accommodation you would consider for your solo trip?"", 'answer': ""Absolutely, I'm open to exploring different types of accommodations for my solo trip. I'm quite flexible when it comes to where I stay, so I'm sure we can find something that fits my needs and budget perfectly. Let's get creative and see what other options are out there!""}]"
Minneapolis,,7.0,,2.0,['pets'],"['American', 'Mediterranean', 'Chinese', 'Italian']",no flight,,"Can you suggest a 7-day travel plan for 2 individuals starting from Minneapolis? We are looking for accommodations that allow pets. Our culinary preferences include American, Mediterranean, Chinese, and Italian cuisines. Additionally, we prefer not to travel by flight.",hard,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-17', 'priority': 0, 'question': 'When are you planning to depart from Minneapolis for this trip?', 'answer': ""March 17, 2022 is the day I'll be setting off from Minneapolis. I can't wait to begin this adventure!""}, {'operation': 'ADD', 'attribute': 'budget', 'value': 5100, 'priority': 0, 'question': 'Do you have a specific budget in mind for this 7-day travel plan for 2 individuals starting from Minneapolis and including accommodations that allow pets, with culinary preferences for American, Mediterranean, Chinese, and Italian cuisines, and excluding flights?', 'answer': 'Our budget for the 7-day trip for 2 individuals starting from Minneapolis and including pet-friendly accommodations, with culinary preferences for American, Mediterranean, Chinese, and Italian cuisines, excluding flights, is $5100.'}, {'operation': 'ADD', 'attribute': 'dest', 'value': ['Toledo on day 1', 'Cleveland on day 3', 'Dayton on day 5'], 'priority': 0, 'question': 'When and where do you plan to arrive at each destination during your 7-day trip starting from Minneapolis?', 'answer': ""Oh, I am so excited about my upcoming trip! I'll be starting off in Toledo on day 1, then heading to Cleveland on day 3, and finally reaching Dayton on day 5. It's going to be such an adventure exploring these different cities!""}]"
Washington,"['Buffalo on day 1', 'Albany on day 3', 'New York on day 5']",7.0,,2.0,['smoking'],,,,"Create a 7-day travel plan for 2 individuals starting from Washington. The itinerary includes visiting Buffalo on day 1, Albany on day 3, and New York on day 5. We require accommodations that permit smoking.",medium,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-13', 'priority': 0, 'question': 'When are you planning to depart from Washington for this trip?', 'answer': ""I can't wait to depart on March 13, 2022! It's going to be such an exciting start to my trip.""}, {'operation': 'ADD', 'attribute': 'budget', 'value': 5500, 'priority': 0, 'question': 'To better tailor the travel plan, could you please specify the budget you have in mind for this trip?', 'answer': ""Absolutely, I've been dreaming about this trip for a while now, and I've set aside a budget of $5500 to make it truly unforgettable. I believe it will be worth every penny for the experiences and memories I'll bring back with me.""}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Buffalo on day 1', 'Watertown on day 3', 'New York on day 5'], 'priority': 1, 'question': 'It seems Albany is not accessible by any transportation methods. Is there another city you would like to include in your travel plan instead of Albany?', 'answer': 'Watertown.'}]"
Louisville,"['Fort Myers on day 1', 'Orlando on day 3', 'Tampa on day 5']",7.0,2022-03-23,,,,,7800.0,"Can you organize a 7-day trip starting from Louisville and including visits to Fort Myers on day 1, Orlando on day 3, and Tampa on day 5? We plan to depart on March 23rd, 2022, with a budget of $7800.",easy,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 1, 'priority': 0, 'question': 'How many people will be joining you on this trip?', 'answer': ""It's just going to be me on this trip, looking forward to some solo adventures!""}]"
